"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Jan., 1999"	"1999/01"	94149	Not Applicable	Not Applicable
	"1999"	"1999"	"Feb., 1999"	"1999/02"	84346	Not Applicable	Not Applicable
	"1999"	"1999"	"Mar., 1999"	"1999/03"	91803	Not Applicable	Not Applicable
	"1999"	"1999"	"Apr., 1999"	"1999/04"	78920	Not Applicable	Not Applicable
	"1999"	"1999"	"May, 1999"	"1999/05"	75996	Not Applicable	Not Applicable
	"1999"	"1999"	"Jun., 1999"	"1999/06"	70844	Not Applicable	Not Applicable
	"1999"	"1999"	"Jul., 1999"	"1999/07"	73314	Not Applicable	Not Applicable
	"1999"	"1999"	"Aug., 1999"	"1999/08"	70573	Not Applicable	Not Applicable
	"1999"	"1999"	"Sep., 1999"	"1999/09"	70135	Not Applicable	Not Applicable
	"1999"	"1999"	"Oct., 1999"	"1999/10"	77264	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	76251	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	90744	Not Applicable	Not Applicable
"Total"	"1999"	"1999"			954339	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	99360	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	81001	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	80038	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	75220	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	75624	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	70425	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	72224	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	72023	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	71790	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	77215	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	78596	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	88010	Not Applicable	Not Applicable
"Total"	"2000"	"2000"			941526	Not Applicable	Not Applicable
	"2001"	"2001"	"Jan., 2001"	"2001/01"	89991	Not Applicable	Not Applicable
	"2001"	"2001"	"Feb., 2001"	"2001/02"	77922	Not Applicable	Not Applicable
	"2001"	"2001"	"Mar., 2001"	"2001/03"	84643	Not Applicable	Not Applicable
	"2001"	"2001"	"Apr., 2001"	"2001/04"	78536	Not Applicable	Not Applicable
	"2001"	"2001"	"May, 2001"	"2001/05"	77018	Not Applicable	Not Applicable
	"2001"	"2001"	"Jun., 2001"	"2001/06"	72745	Not Applicable	Not Applicable
	"2001"	"2001"	"Jul., 2001"	"2001/07"	72109	Not Applicable	Not Applicable
	"2001"	"2001"	"Aug., 2001"	"2001/08"	71377	Not Applicable	Not Applicable
