Year,Deaths,Population,Crude Rate
1999,954339,279040168,342
2000,941526,281421906,334.6
2001,926999,284968955,325.3
2002,923339,287625193,321
2003,907180,290107933,312.7
2004,865863,292805298,295.7
2005,860843,295516599,291.3
2006,827741,298379912,277.4
2007,810257,301231207,269
2008,808525,304093966,265.9
2009,784742,306771529,255.8
2010,784454,308745538,254.1
2011,783475,311591917,251.4
2012,787431,313914040,250.8
2013,800937,316128839,253.4
2014,807775,318857056,253.3
2015,836546,321418820,260.3
2016,840678,323127513,260.2
2017,859125,325719178,263.8
2018,868662,327167434,265.5
