"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Jan., 1999"	"1999/01"	49263	Not Applicable	Not Applicable
	"Feb., 1999"	"1999/02"	44883	Not Applicable	Not Applicable
	"Mar., 1999"	"1999/03"	48973	Not Applicable	Not Applicable
	"Apr., 1999"	"1999/04"	45164	Not Applicable	Not Applicable
	"May, 1999"	"1999/05"	46802	Not Applicable	Not Applicable
	"Jun., 1999"	"1999/06"	44881	Not Applicable	Not Applicable
	"Jul., 1999"	"1999/07"	46843	Not Applicable	Not Applicable
	"Aug., 1999"	"1999/08"	46703	Not Applicable	Not Applicable
	"Sep., 1999"	"1999/09"	45870	Not Applicable	Not Applicable
	"Oct., 1999"	"1999/10"	48335	Not Applicable	Not Applicable
	"Nov., 1999"	"1999/11"	46153	Not Applicable	Not Applicable
	"Dec., 1999"	"1999/12"	49195	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	50147	Not Applicable	Not Applicable
	"Feb., 2000"	"2000/02"	44753	Not Applicable	Not Applicable
	"Mar., 2000"	"2000/03"	47165	Not Applicable	Not Applicable
	"Apr., 2000"	"2000/04"	45593	Not Applicable	Not Applicable
	"May, 2000"	"2000/05"	47156	Not Applicable	Not Applicable
	"Jun., 2000"	"2000/06"	45512	Not Applicable	Not Applicable
	"Jul., 2000"	"2000/07"	47020	Not Applicable	Not Applicable
	"Aug., 2000"	"2000/08"	47841	Not Applicable	Not Applicable
	"Sep., 2000"	"2000/09"	46964	Not Applicable	Not Applicable
	"Oct., 2000"	"2000/10"	48955	Not Applicable	Not Applicable
	"Nov., 2000"	"2000/11"	47017	Not Applicable	Not Applicable
	"Dec., 2000"	"2000/12"	48514	Not Applicable	Not Applicable
	"Jan., 2001"	"2001/01"	49034	Not Applicable	Not Applicable
	"Feb., 2001"	"2001/02"	44156	Not Applicable	Not Applicable
	"Mar., 2001"	"2001/03"	48496	Not Applicable	Not Applicable
	"Apr., 2001"	"2001/04"	46869	Not Applicable	Not Applicable
	"May, 2001"	"2001/05"	47419	Not Applicable	Not Applicable
	"Jun., 2001"	"2001/06"	46098	Not Applicable	Not Applicable
	"Jul., 2001"	"2001/07"	46709	Not Applicable	Not Applicable
	"Aug., 2001"	"2001/08"	48096	Not Applicable	Not Applicable
	"Sep., 2001"	"2001/09"	46636	Not Applicable	Not Applicable
	"Oct., 2001"	"2001/10"	48710	Not Applicable	Not Applicable
	"Nov., 2001"	"2001/11"	46765	Not Applicable	Not Applicable
	"Dec., 2001"	"2001/12"	48456	Not Applicable	Not Applicable
	"Jan., 2002"	"2002/01"	49263	Not Applicable	Not Applicable
	"Feb., 2002"	"2002/02"	45224	Not Applicable	Not Applicable
	"Mar., 2002"	"2002/03"	49590	Not Applicable	Not Applicable
