Month,Month Code,Deaths
"Jan., 1999",1999/01,49263
"Feb., 1999",1999/02,44883
"Mar., 1999",1999/03,48973
"Apr., 1999",1999/04,45164
"May, 1999",1999/05,46802
"Jun., 1999",1999/06,44881
"Jul., 1999",1999/07,46843
"Aug., 1999",1999/08,46703
"Sep., 1999",1999/09,45870
"Oct., 1999",1999/10,48335
"Nov., 1999",1999/11,46153
"Dec., 1999",1999/12,49195
"Jan., 2000",2000/01,50147
"Feb., 2000",2000/02,44753
"Mar., 2000",2000/03,47165
"Apr., 2000",2000/04,45593
"May, 2000",2000/05,47156
"Jun., 2000",2000/06,45512
"Jul., 2000",2000/07,47020
"Aug., 2000",2000/08,47841
"Sep., 2000",2000/09,46964
"Oct., 2000",2000/10,48955
"Nov., 2000",2000/11,47017
"Dec., 2000",2000/12,48514
"Jan., 2001",2001/01,49034
"Feb., 2001",2001/02,44156
"Mar., 2001",2001/03,48496
"Apr., 2001",2001/04,46869
"May, 2001",2001/05,47419
"Jun., 2001",2001/06,46098
"Jul., 2001",2001/07,46709
"Aug., 2001",2001/08,48096
"Sep., 2001",2001/09,46636
"Oct., 2001",2001/10,48710
"Nov., 2001",2001/11,46765
"Dec., 2001",2001/12,48456
"Jan., 2002",2002/01,49263
"Feb., 2002",2002/02,45224
"Mar., 2002",2002/03,49590
"Apr., 2002",2002/04,46132
"May, 2002",2002/05,47996
"Jun., 2002",2002/06,45500
"Jul., 2002",2002/07,47656
"Aug., 2002",2002/08,47782
"Sep., 2002",2002/09,46591
"Oct., 2002",2002/10,48520
"Nov., 2002",2002/11,47230
"Dec., 2002",2002/12,49086
"Jan., 2003",2003/01,49299
"Feb., 2003",2003/02,44057
"Mar., 2003",2003/03,48344
"Apr., 2003",2003/04,46395
"May, 2003",2003/05,47563
"Jun., 2003",2003/06,46135
"Jul., 2003",2003/07,47279
"Aug., 2003",2003/08,48188
"Sep., 2003",2003/09,46501
"Oct., 2003",2003/10,49192
"Nov., 2003",2003/11,47227
"Dec., 2003",2003/12,50285
"Jan., 2004",2004/01,49747
"Feb., 2004",2004/02,45522
"Mar., 2004",2004/03,48687
"Apr., 2004",2004/04,46035
"May, 2004",2004/05,47261
"Jun., 2004",2004/06,45591
"Jul., 2004",2004/07,47454
"Aug., 2004",2004/08,47581
"Sep., 2004",2004/09,46207
"Oct., 2004",2004/10,48429
"Nov., 2004",2004/11,46247
"Dec., 2004",2004/12,48707
"Jan., 2005",2005/01,49641
"Feb., 2005",2005/02,45534
"Mar., 2005",2005/03,49615
"Apr., 2005",2005/04,46703
"May, 2005",2005/05,47677
"Jun., 2005",2005/06,46120
"Jul., 2005",2005/07,47475
"Aug., 2005",2005/08,48239
"Sep., 2005",2005/09,46812
"Oct., 2005",2005/10,48461
"Nov., 2005",2005/11,47103
"Dec., 2005",2005/12,49642
"Jan., 2006",2006/01,49462
"Feb., 2006",2006/02,45161
"Mar., 2006",2006/03,49730
"Apr., 2006",2006/04,46410
"May, 2006",2006/05,48185
"Jun., 2006",2006/06,46277
"Jul., 2006",2006/07,47706
"Aug., 2006",2006/08,47882
"Sep., 2006",2006/09,47259
"Oct., 2006",2006/10,49173
"Nov., 2006",2006/11,47600
"Dec., 2006",2006/12,49165
"Jan., 2007",2007/01,49829
"Feb., 2007",2007/02,45527
"Mar., 2007",2007/03,48874
"Apr., 2007",2007/04,47103
"May, 2007",2007/05,47825
"Jun., 2007",2007/06,46654
"Jul., 2007",2007/07,48340
"Aug., 2007",2007/08,48818
"Sep., 2007",2007/09,47525
"Oct., 2007",2007/10,49294
"Nov., 2007",2007/11,47643
"Dec., 2007",2007/12,49647
"Jan., 2008",2008/01,49893
"Feb., 2008",2008/02,47621
"Mar., 2008",2008/03,49558
"Apr., 2008",2008/04,47159
"May, 2008",2008/05,48288
"Jun., 2008",2008/06,46670
"Jul., 2008",2008/07,47993
"Aug., 2008",2008/08,48607
"Sep., 2008",2008/09,47234
"Oct., 2008",2008/10,49152
"Nov., 2008",2008/11,48070
"Dec., 2008",2008/12,49694
"Jan., 2009",2009/01,50220
"Feb., 2009",2009/02,45366
"Mar., 2009",2009/03,49582
"Apr., 2009",2009/04,47564
"May, 2009",2009/05,48103
"Jun., 2009",2009/06,47088
"Jul., 2009",2009/07,48777
"Aug., 2009",2009/08,48888
"Sep., 2009",2009/09,47838
"Oct., 2009",2009/10,50302
"Nov., 2009",2009/11,48184
"Dec., 2009",2009/12,50321
"Jan., 2010",2010/01,50766
